trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20210604,000001.SH,上证综指,week,周K,3591.845,3504.7843999999996,3479.4871,2.484050088787204,3.229151215993875,公开指数日线计算（周K最后实际交易日）
20210611,000001.SH,上证综指,week,周K,3589.748,3503.9342999999994,3488.8085333333333,2.4490670387284474,2.893236063322324,公开指数日线计算（周K最后实际交易日）
20210618,000001.SH,上证综指,week,周K,3525.097,3506.0357000000004,3493.720866666667,0.5436710185238613,0.8980721279908455,公开指数日线计算（周K最后实际交易日）
20210625,000001.SH,上证综指,week,周K,3607.562,3511.5971500000005,3500.3627,2.7327978096804095,3.0625197783075375,公开指数日线计算（周K最后实际交易日）
20210630,000001.SH,上证综指,month,月K,3591.197,,,,,公开指数日线计算（月K最后实际交易日）
20210702,000001.SH,上证综指,week,周K,3518.76,3504.7807500000004,3502.8353333333334,0.39886232541079814,0.4546221889200952,公开指数日线计算（周K最后实际交易日）
20210709,000001.SH,上证综指,week,周K,3524.088,3496.17675,3508.7319,0.7983363541331334,0.437653842973873,公开指数日线计算（周K最后实际交易日）
20210716,000001.SH,上证综指,week,周K,3539.304,3497.6879499999995,3513.5454999999997,1.189815975436015,0.7331198642510861,公开指数日线计算（周K最后实际交易日）
20210723,000001.SH,上证综指,week,周K,3550.396,3500.1084,3518.6732666666667,1.4367440734121217,0.9015538223980935,公开指数日线计算（周K最后实际交易日）
20210730,000001.SH,上证综指,week,周K,3397.357,3497.32235,3516.1495333333337,-2.858339609444349,-3.3784835430681337,公开指数日线计算（周K最后实际交易日）
20210730,000001.SH,上证综指,month,月K,3397.357,,,,,公开指数日线计算（月K最后实际交易日）
20210806,000001.SH,上证综指,week,周K,3458.228,3500.0005999999994,3512.4202,-1.1935026525423886,-1.5428734864923022,公开指数日线计算（周K最后实际交易日）
20210813,000001.SH,上证综指,week,周K,3516.299,3504.8992000000007,3510.7509,0.32525329116452895,0.15803171908324032,公开指数日线计算（周K最后实际交易日）
