code,exchange,name,source,updated_at
603269,SH,海鸥股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688288,SH,鸿泉技术,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002640,SZ,跨境通,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603262,SH,技源集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600738,SH,丽尚国潮,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605286,SH,同力天启,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603096,SH,新经典,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300364,SZ,中文在线,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688152,SH,麒麟信安,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300130,SZ,新国都,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002987,SZ,京北方,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688526,SH,科前生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002457,SZ,青龙管业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600640,SH,国脉文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300941,SZ,创识科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002332,SZ,仙琚制药,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002187,SZ,广百股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002856,SZ,*ST美芝,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603605,SH,珀莱雅,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601222,SH,林洋能源,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
001236,SZ,弘业期货,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002251,SZ,步步高,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
